 Label: Portree: 96.66%, name: p_Alan_Grayson.jpg 
 Label: Karikatuur: 80.59%, name: c_Mauricio_Macri.jpg 
 Label: Karikatuur: 95.98%, name: c_Tim_Draper.jpg 
 Label: Karikatuur: 98.04%, name: c_Theresa_May.jpg 
 Label: Karikatuur: 93.41%, name: c_James_Comey.jpg 
 Label: Portree: 98.69%, name: p_Ammon_Bundy.png 
 Label: Portree: 98.85%, name: p_Lincoln_Chafee.jpg 
 Label: Karikatuur: 87.72%, name: c_Marcela_Temer.jpg 
 Label: Portree: 99.31%, name: p_Andrew_McCabe.jpg 
 Label: Karikatuur: 96.96%, name: c_Mark_Kirk.jpg 
 Label: Portree: 99.87%, name: p_Jeff_Zucker.jpg 
VALESTI P Label: Karikatuur: 54.44%, name: p_Kirstjen_Nielsen.jpg 
 Label: Portree: 100.00%, name: p_Rudy_Giuliani.jpg 
 Label: Portree: 92.21%, name: p_Roy_Blunt.jpg 
 Label: Portree: 99.50%, name: p_Theresa_May.png 
 Label: Portree: 99.93%, name: p_Jason_Chaffetz.jpg 
VALESTI C Label: Portree: 59.11%, name: c_John_Fetterman.jpg 
VALESTI C Label: Portree: 76.65%, name: c_Ammon_Bundy.jpg 
 Label: Portree: 99.97%, name: p_Mauricio_Macri.jpg 
 Label: Karikatuur: 95.85%, name: c_Tim_Kaine.jpg 
 Label: Portree: 93.59%, name: p_Rafael_Cruz.jpg 
 Label: Portree: 99.47%, name: p_Tim_Kaine.jpg 
VALESTI P Label: Karikatuur: 59.60%, name: p_Justin_Trudeau.jpg 
 Label: Karikatuur: 96.10%, name: c_Rudy_Giuliani.jpg 
 Label: Portree: 97.42%, name: p_Darryl_Glenn.jpg 
VALESTI C Label: Portree: 55.84%, name: c_Patrick_Murphy.jpg 
VALESTI C Label: Portree: 60.80%, name: c_Richard_Burr.jpg 
 Label: Portree: 100.00%, name: p_James_Comey.jpg 
VALESTI C Label: Portree: 53.61%, name: c_Rafael_Cruz.jpg 
